Property,Layout,Sqft Midpoint,Rent Midpoint,$/Sqft
"The Clara","Studio",536,3719,6.94
"The Clara","1 Bed/1 Bath",720,4608,6.40
"The Clara","2 Bed/2 Bath",1094,6158,5.63
"The Clara","3 Bed",1633,10469,6.41
"AVE Santa Clara","Studio",498,3345,6.72
"AVE Santa Clara","1 Bed/1 Bath",619,3767,6.09
"AVE Santa Clara","3 Bed/2 Bath",1254,6779,5.41
"The Lafayette","1 Bed/1 Bath",684,3811,5.57
"The Lafayette","2 Bed/2 Bath",1132,5482,4.84
"The Lafayette","3 Bed/2 Bath",1360,6213,4.57
"Passero","Studio",340,2888,8.49
"Passero","1 Bed/1 Bath",665,3893,5.85
"Passero","2 Beds/2 Baths",1033,4951,4.79